"DTI_CL_UNIDAD_MEDIDA","Unit of measurement","DTI_CL_MES","Month","Value","Flag Codes","Flags"
"IX","Index","2016-M01","2016 January",98.72,,
"IX","Index","2016-M02","2016 February",98.13,,
"IX","Index","2016-M03","2016 March",99.51,,
"IX","Index","2016-M04","2016 April",99.52,,
"IX","Index","2016-M05","2016 May",99.26,,
"IX","Index","2016-M06","2016 June",99.36,,
"IX","Index","2016-M07","2016 July",99.89,,
"IX","Index","2016-M08","2016 August",99.94,,
"IX","Index","2016-M09","2016 September",100.92,,
"IX","Index","2016-M10","2016 October",100.92,,
"IX","Index","2016-M11","2016 November",101.24,,
"IX","Index","2016-M12","2016 December",102.6,,
"IX","Index","2017-M01","2017 January",103.74,,
"IX","Index","2017-M02","2017 February",103.48,,
"IX","Index","2017-M03","2017 March",104.07,,
"IX","Index","2017-M04","2017 April",104.91,,
"IX","Index","2017-M05","2017 May",104.48,,
"IX","Index","2017-M06","2017 June",105.1,,
"IX","Index","2017-M07","2017 July",106.13,,
"IX","Index","2017-M08","2017 August",106.66,,
"IX","Index","2017-M09","2017 September",106.81,,
"IX","Index","2017-M10","2017 October",107.12,,
"IX","Index","2017-M11","2017 November",107.74,,
"IX","Index","2017-M12","2017 December",108.53,,
"IX","Index","2018-M01","2018 January",109.38,,
"IX","Index","2018-M02","2018 February",108.97,,
"IX","Index","2018-M03","2018 March",109.53,,
"IX","Index","2018-M04","2018 April",109.84,,
"IX","Index","2018-M05","2018 May",109.69,,
"IX","Index","2018-M06","2018 June",109.87,,
"IX","Index","2018-M07","2018 July",110.43,,
"IX","Index","2018-M08","2018 August",110.49,,
"IX","Index","2018-M09","2018 September",111.55,,
"IX","Index","2018-M10","2018 October",111.49,,
"IX","Index","2018-M11","2018 November",112.1,,
"IX","Index","2018-M12","2018 December",112.64,,
"IX","Index","2019-M01","2019 January",113.53,,
"12_M_VAR","12-month variation in percentages (%)","2017-M01","2017 January",5.1,,
"12_M_VAR","12-month variation in percentages (%)","2017-M02","2017 February",5.5,,
"12_M_VAR","12-month variation in percentages (%)","2017-M03","2017 March",4.6,,
"12_M_VAR","12-month variation in percentages (%)","2017-M04","2017 April",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2017-M05","2017 May",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2017-M06","2017 June",5.8,,
"12_M_VAR","12-month variation in percentages (%)","2017-M07","2017 July",6.3,,
"12_M_VAR","12-month variation in percentages (%)","2017-M08","2017 August",6.7,,
"12_M_VAR","12-month variation in percentages (%)","2017-M09","2017 September",5.8,,
"12_M_VAR","12-month variation in percentages (%)","2017-M10","2017 October",6.1,,
"12_M_VAR","12-month variation in percentages (%)","2017-M11","2017 November",6.4,,
"12_M_VAR","12-month variation in percentages (%)","2017-M12","2017 December",5.8,,
"12_M_VAR","12-month variation in percentages (%)","2018-M01","2018 January",5.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M02","2018 February",5.3,,
"12_M_VAR","12-month variation in percentages (%)","2018-M03","2018 March",5.2,,
"12_M_VAR","12-month variation in percentages (%)","2018-M04","2018 April",4.7,,
"12_M_VAR","12-month variation in percentages (%)","2018-M05","2018 May",5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M06","2018 June",4.5,,
"12_M_VAR","12-month variation in percentages (%)","2018-M07","2018 July",4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M08","2018 August",3.6,,
"12_M_VAR","12-month variation in percentages (%)","2018-M09","2018 September",4.4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M10","2018 October",4.1,,
"12_M_VAR","12-month variation in percentages (%)","2018-M11","2018 November",4,,
"12_M_VAR","12-month variation in percentages (%)","2018-M12","2018 December",3.8,,
"12_M_VAR","12-month variation in percentages (%)","2019-M01","2019 January",3.8,,
"IX","Index","2019-M02","2019 February",113.7,,
"12_M_VAR","12-month variation in percentages (%)","2019-M02","2019 February",4.3,,
"IX","Index","2019-M03","2019 March",114.72,,
"12_M_VAR","12-month variation in percentages (%)","2019-M03","2019 March",4.7,,
"IX","Index","2019-M04","2019 April",115.43,,
"12_M_VAR","12-month variation in percentages (%)","2019-M04","2019 April",5.1,,
"IX","Index","2019-M05","2019 May",115.34,,
"12_M_VAR","12-month variation in percentages (%)","2019-M05","2019 May",5.2,,
"IX","Index","2019-M06","2019 June",115.22,,
"12_M_VAR","12-month variation in percentages (%)","2019-M06","2019 June",4.9,,
"IX","Index","2019-M07","2019 July",115.99,,
"12_M_VAR","12-month variation in percentages (%)","2019-M07","2019 July",5,,
"IX","Index","2019-M08","2019 August",116.23,,
"12_M_VAR","12-month variation in percentages (%)","2019-M08","2019 August",5.2,,
"IX","Index","2019-M09","2019 September",116.47,,
"12_M_VAR","12-month variation in percentages (%)","2019-M09","2019 September",4.4,,
"IX","Index","2019-M10","2019 October",116.47,,
"12_M_VAR","12-month variation in percentages (%)","2019-M10","2019 October",4.5,,
"IX","Index","2019-M11","2019 November",116.77,,
"12_M_VAR","12-month variation in percentages (%)","2019-M11","2019 November",4.2,,
"IX","Index","2019-M12","2019 December",117.84,,
"12_M_VAR","12-month variation in percentages (%)","2019-M12","2019 December",4.6,,
"IX","Index","2020-M01","2020 January",118.85,,
"12_M_VAR","12-month variation in percentages (%)","2020-M01","2020 January",4.7,,
"IX","Index","2020-M02","2020 February",118.75,,
"12_M_VAR","12-month variation in percentages (%)","2020-M02","2020 February",4.4,,
"IX","Index","2020-M03","2020 March",120.06,,
"12_M_VAR","12-month variation in percentages (%)","2020-M03","2020 March",4.7,,
"IX","Index","2020-M04","2020 April",118.53,,
"12_M_VAR","12-month variation in percentages (%)","2020-M04","2020 April",2.7,,
"IX","Index","2020-M05","2020 May",118.35,,
"12_M_VAR","12-month variation in percentages (%)","2020-M05","2020 May",2.6,,
"IX","Index","2020-M06","2020 June",118.4,,
"12_M_VAR","12-month variation in percentages (%)","2020-M06","2020 June",2.8,,
"IX","Index","2020-M07","2020 July",119.28,,
"12_M_VAR","12-month variation in percentages (%)","2020-M07","2020 July",2.8,,
"IX","Index","2020-M08","2020 August",119.54,,
"12_M_VAR","12-month variation in percentages (%)","2020-M08","2020 August",2.8,,
"IX","Index","2020-M09","2020 September",120.73,,
"12_M_VAR","12-month variation in percentages (%)","2020-M09","2020 September",3.7,,
"IX","Index","2020-M10","2020 October",121.15,,
"12_M_VAR","12-month variation in percentages (%)","2020-M10","2020 October",4,,
"IX","Index","2020-M11","2020 November",122.14,,
"12_M_VAR","12-month variation in percentages (%)","2020-M11","2020 November",4.6,,
"IX","Index","2020-M12","2020 December",122.59,,
"12_M_VAR","12-month variation in percentages (%)","2020-M12","2020 December",4,,
"IX","Index","2021-M01","2021 January",124.01,,
"12_M_VAR","12-month variation in percentages (%)","2021-M01","2021 January",4.3,,
"IX","Index","2021-M02","2021 February",123.71,,
"12_M_VAR","12-month variation in percentages (%)","2021-M02","2021 February",4.2,,
"IX","Index","2021-M03","2021 March",125.31,,
"12_M_VAR","12-month variation in percentages (%)","2021-M03","2021 March",4.4,,
"IX","Index","2021-M04","2021 April",125.42,,
"12_M_VAR","12-month variation in percentages (%)","2021-M04","2021 April",5.8,,
"IX","Index","2021-M05","2021 May",124.95,,
"12_M_VAR","12-month variation in percentages (%)","2021-M05","2021 May",5.6,,
"IX","Index","2021-M06","2021 June",125.45,,
"12_M_VAR","12-month variation in percentages (%)","2021-M06","2021 June",6,,
"IX","Index","2021-M07","2021 July",127.11,,
"12_M_VAR","12-month variation in percentages (%)","2021-M07","2021 July",6.6,,
"IX","Index","2021-M08","2021 August",127.19,,
"12_M_VAR","12-month variation in percentages (%)","2021-M08","2021 August",6.4,,
"IX","Index","2021-M09","2021 September",127.65,,
"12_M_VAR","12-month variation in percentages (%)","2021-M09","2021 September",5.7,,
"IX","Index","2021-M10","2021 October",128.37,,
"12_M_VAR","12-month variation in percentages (%)","2021-M10","2021 October",6,,
"IX","Index","2021-M11","2021 November",129.31,,
"12_M_VAR","12-month variation in percentages (%)","2021-M11","2021 November",5.9,,
"IX","Index","2021-M12","2021 December",130.97,,
"12_M_VAR","12-month variation in percentages (%)","2021-M12","2021 December",6.8,,
"IX","Index","2022-M01","2022 January",133.37,,
"12_M_VAR","12-month variation in percentages (%)","2022-M01","2022 January",7.6,,
"IX","Index","2022-M02","2022 February",133.16,,
"12_M_VAR","12-month variation in percentages (%)","2022-M02","2022 February",7.6,,
"IX","Index","2022-M03","2022 March",134.73,,
"12_M_VAR","12-month variation in percentages (%)","2022-M03","2022 March",7.5,,
"IX","Index","2022-M04","2022 April",135.58,,
"12_M_VAR","12-month variation in percentages (%)","2022-M04","2022 April",8.1,,
"IX","Index","2022-M05","2022 May",136.91,"p","Provisional"
"12_M_VAR","12-month variation in percentages (%)","2022-M05","2022 May",9.6,"p","Provisional"
